French,English
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
genre,kind
frère,brother
car,because
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
pendant,while
revoir,meet again
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
type,type
leurs,their
train,train
yeux,eyes
écoute,listen
trouve,find
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
enfant,child
point,point
pardon,sorry
devant,in front of
vers,towards
demandé,request
chambre,bedroom
belle,beautiful
aimerais,would like to
aujourd'hui,today
cause,cause
espère,hope
attendez,Wait
parti,left
boulot,job
arrêter,Stop
loin,far
fin,end
croire,believe
chérie,sweetheart
aura,will have
filles,girls
jouer,to play
